国家/地区,中国,印度,美国,印尼,巴基斯坦,巴西,尼日利亚,孟加拉,俄罗斯,墨西哥,日本,埃塞俄比亚,菲律宾,埃及,越南,刚果（金）,土耳其,伊朗,德国,泰国,法国,英国,坦桑尼亚,南非,意大利,肯尼亚,缅甸,韩国,哥伦比亚,西班牙,乌干达,阿根廷,苏丹,阿尔及利亚,乌克兰,伊拉克,阿富汗,加拿大,波兰,摩洛哥,沙特阿拉伯,乌兹别克斯坦,安哥拉,秘鲁,马来西亚,莫桑比克,加纳,也门,尼泊尔,委内瑞拉,马达加斯加,喀麦隆,科特迪瓦,朝鲜,澳大利亚,尼日尔,斯里兰卡,布基纳法索,马里,马拉维,智利,罗马尼亚,哈萨克斯坦,赞比亚,叙利亚,厄瓜多尔,荷兰,塞内加尔,危地马拉,柬埔寨,乍得,索马里,津巴布韦,几内亚,卢旺达,贝宁,布隆迪,突尼斯,玻利维亚,比利时,海地,南苏丹,古巴,多米尼加,捷克,希腊,瑞典,葡萄牙,约旦,阿塞拜疆,洪都拉斯,阿联酋,塔吉克斯坦,匈牙利,以色列,白俄罗斯,巴布亚新几内亚,奥地利,瑞士,多哥,塞拉利昂,香港,老挝,巴拉圭,利比亚,保加利亚,塞尔维亚,黎巴嫩,尼加拉瓜,吉尔吉斯斯坦,萨尔瓦多,土库曼斯坦,丹麦,刚果（布）,芬兰,新加坡,斯洛伐克,挪威,阿曼,利比里亚,哥斯达黎加,新西兰,爱尔兰,巴勒斯坦,中非,毛里塔尼亚,巴拿马,科威特,克罗地亚,格鲁吉亚,乌拉圭,蒙古,波多黎各,波黑,牙买加,亚美尼亚,卡塔尔,阿尔巴尼亚,立陶宛,纳米比亚,摩尔多瓦,冈比亚,博茨瓦纳,加蓬,莱索托,斯洛文尼亚,马其顿,几内亚比绍,拉脱维亚,巴林,赤道几内亚,特立尼达和多巴哥,东帝汶,爱沙尼亚,毛里求斯,塞浦路斯,斯威士兰,吉布提,斐济群岛,科摩罗,圭亚那,不丹,所罗门群岛,澳门,卢森堡,黑山,苏里南,佛得角,马尔代夫,马耳他,文莱,伯利兹,巴哈马,冰岛,瓦努阿图,巴巴多斯,法属波利尼西亚,新喀里多尼亚,圣多美和普林西比,萨摩亚,圣卢西亚,关岛,库拉索,基里巴斯,密克罗尼西亚联邦,格林纳达,圣文森特和格林纳丁斯,阿鲁巴,汤加,塞舌尔,安提瓜和巴布达,马恩岛,安道尔,多米尼克,开曼群岛,百慕大,马绍尔群岛,北马里亚纳群岛,格陵兰,美属萨摩亚,圣基茨和尼维斯,法罗群岛,荷属圣马丁,摩纳哥,法属圣马丁,特克斯和凯科斯群岛,列支敦士登,圣马力诺,直布罗陀,英属维尔京群岛,帕劳,图瓦卢,瑙鲁
所在洲,亚洲,亚洲,美洲,亚洲,亚洲,美洲,非洲,亚洲,欧洲,美洲,亚洲,非洲,亚洲,非洲,亚洲,非洲,欧洲,亚洲,欧洲,亚洲,欧洲,欧洲,非洲,非洲,欧洲,非洲,亚洲,亚洲,美洲,欧洲,非洲,美洲,非洲,非洲,欧洲,亚洲,亚洲,美洲,欧洲,非洲,亚洲,亚洲,非洲,美洲,亚洲,非洲,非洲,亚洲,亚洲,美洲,非洲,非洲,非洲,亚洲,大洋洲,非洲,亚洲,非洲,非洲,非洲,美洲,欧洲,亚洲,非洲,亚洲,美洲,欧洲,非洲,美洲,亚洲,非洲,非洲,非洲,非洲,非洲,非洲,非洲,非洲,美洲,欧洲,美洲,非洲,美洲,美洲,欧洲,欧洲,欧洲,欧洲,亚洲,亚洲,美洲,亚洲,亚洲,欧洲,亚洲,欧洲,大洋洲,欧洲,欧洲,非洲,非洲,亚洲,亚洲,美洲,非洲,欧洲,欧洲,亚洲,美洲,亚洲,美洲,亚洲,欧洲,非洲,欧洲,亚洲,欧洲,欧洲,亚洲,非洲,美洲,大洋洲,欧洲,亚洲,非洲,非洲,美洲,亚洲,欧洲,亚洲,美洲,亚洲,美洲,欧洲,美洲,亚洲,亚洲,欧洲,欧洲,非洲,欧洲,非洲,非洲,非洲,非洲,欧洲,欧洲,非洲,欧洲,亚洲,非洲,美洲,亚洲,欧洲,非洲,欧洲,非洲,非洲,大洋洲,非洲,美洲,亚洲,大洋洲,亚洲,欧洲,欧洲,美洲,非洲,亚洲,欧洲,亚洲,美洲,美洲,欧洲,大洋洲,美洲,大洋洲,大洋洲,非洲,大洋洲,美洲,大洋洲,美洲,大洋洲,大洋洲,美洲,美洲,美洲,大洋洲,非洲,美洲,欧洲,欧洲,美洲,美洲,美洲,大洋洲,大洋洲,美洲,大洋洲,美洲,欧洲,美洲,欧洲,美洲,美洲,欧洲,欧洲,欧洲,美洲,大洋洲,大洋洲,大洋洲
1960,"667,070,000","450,547,675","180,671,000","87,751,066","44,988,690","72,179,235","45,138,460","48,013,505","119,897,000","37,771,861","93,216,000","22,151,284","26,269,741","26,632,891","32,670,048","15,248,256","27,472,339","21,906,909","72,814,900","27,397,208","46,621,688","52,400,000","10,052,151","17,099,836","50,199,700","8,120,082","21,736,947","25,012,374","16,057,714","30,455,000","6,767,092","20,481,781","7,544,498","11,057,864","42,664,646","7,289,753","8,996,967","17,909,009","29,637,450","12,328,532","4,086,534","8,526,299","5,454,938","10,155,011","8,156,342","7,184,870","6,635,229","5,315,351","10,105,060","8,141,839","5,099,368","5,176,920","3,503,559","11,424,189","10,276,477","3,388,774","9,874,476","4,829,289","5,263,727","3,659,980","8,132,988","18,406,905","9,934,564","3,070,780","4,573,514","4,543,658","11,486,631","3,206,757","4,128,880","5,722,372","3,001,604","2,755,967","3,776,679","3,494,164","2,935,575","2,431,617","2,797,925","4,178,235","3,656,961","9,153,489","3,866,162","2,842,718","7,141,241","3,294,222","9,602,006","8,331,725","7,484,656","8,857,716","933,102","3,895,398","2,038,636","92,417","2,087,053","9,983,967","2,114,020","8,198,000","2,255,858","7,047,539","5,327,827","1,580,508","2,317,638","3,075,605","2,120,892","1,903,990","1,448,416","7,867,374","6,608,000","1,804,935","1,773,132","2,172,300","2,766,319","1,603,254","4,579,603","1,018,254","4,429,634","1,646,400","4,068,095","3,581,239","551,735","1,118,655","1,330,787","2,371,800","2,828,600",#N/A,"1,501,668","850,377","1,133,005","269,026","4,140,181","3,645,600","2,538,648","955,514","2,358,000","3,225,664","1,628,524","1,874,119","47,383","1,608,800","2,778,550","634,138","2,043,664","365,049","502,733","500,922","837,264","1,584,720","1,488,670","616,140","2,120,979","162,429","255,338","847,973","474,535","1,211,537","659,351","572,933","336,578","83,634","393,480","191,122","571,813","223,284","117,847","167,795","313,970","480,579","287,870","201,770","89,873","326,550","81,707","92,068","109,532","175,574","63,689","230,985","78,080","79,000","64,294","108,627","89,698","66,733","124,826","41,196","44,510","89,927","80,970","54,208","61,574","41,700","54,132","48,444","13,410","60,020",7870,"44,400","14,674",9980,"32,500","20,127","51,199","34,624",2833,"22,461",3898,5825,"16,501","15,440","23,420",8053,9769,5321,4377
1961,"660,330,000","459,642,166","183,691,000","90,098,396","46,065,229","74,311,338","46,063,570","49,362,834","121,236,000","38,966,049","94,055,000","22,671,193","27,161,052","27,366,239","33,666,111","15,637,700","28,146,909","22,480,371","73,377,632","28,224,186","47,240,526","52,800,000","10,346,695","17,524,533","50,536,350","8,377,693","22,211,626","25,765,673","16,567,817","30,739,250","6,983,824","20,817,270","7,769,475","11,336,336","43,206,353","7,475,349","9,169,406","18,271,000","29,964,000","12,710,587","4,218,852","8,813,619","5,531,451","10,446,618","8,417,821","7,342,117","6,848,291","5,393,034","10,267,260","8,439,261","5,223,561","5,285,015","3,631,547","11,665,592","10,483,000","3,486,322","10,111,639","4,894,580","5,322,269","3,747,758","8,303,804","18,555,250","10,349,422","3,164,330","4,721,893","4,674,176","11,638,712","3,295,280","4,251,911","5,872,968","3,060,365","2,814,125","3,905,038","3,552,068","2,998,334","2,465,865","2,852,438","4,238,141","3,728,954","9,183,948","3,941,956","2,895,609","7,291,201","3,406,282","9,586,651","8,398,050","7,519,998","8,929,316","973,983","4,030,325","2,096,407","100,801","2,159,134","10,029,321","2,185,000","8,271,216","2,297,052","7,086,299","5,434,294","1,597,523","2,352,370","3,168,100","2,170,340","1,954,552","1,498,076","7,943,118","6,655,000","1,864,613","1,829,772","2,255,900","2,846,601","1,658,364","4,611,687","1,043,119","4,461,005","1,702,400","4,191,667","3,609,800","564,891","1,142,304","1,381,187","2,419,700","2,824,400",#N/A,"1,526,057","875,586","1,167,120","300,581","4,167,292","3,703,600","2,571,682","982,181","2,399,722","3,288,604","1,651,067","1,941,498","51,427","1,659,800","2,823,550","649,274","2,092,667","372,436","512,688","505,793","852,892","1,594,131","1,507,647","622,754","2,152,681","167,899","258,786","864,814","482,852","1,225,077","680,757","576,402","343,346","88,503","407,244","194,149","589,274","228,849","121,385","170,466","316,845","491,140","295,913","205,321","92,328","325,250","85,560","94,700","115,119","179,029","65,700","231,718","80,705","81,200","64,597","112,112","90,718","68,065","126,125","42,234","45,939","91,324","82,168","55,434","63,721","42,889","55,005","48,286","14,378","61,036",8024,"45,500","15,056","10,243","33,700","20,605","51,196","35,074",3077,"22,813",3996,5867,"16,894","15,836","23,808",8164,"10,046",5330,4627
1962,"665,770,000","469,077,191","186,538,000","92,518,373","47,198,886","76,514,329","47,029,818","50,752,150","122,591,000","40,195,318","94,933,000","23,221,385","28,077,345","28,112,258","34,683,410","16,041,187","28,832,831","23,071,309","74,025,784","29,080,945","47,904,879","53,250,000","10,651,954","17,965,733","50,879,450","8,647,002","22,697,664","26,513,030","17,092,919","31,023,366","7,215,799","21,153,042","8,004,122","11,619,828","43,752,227","7,674,217","9,351,442","18,614,000","30,308,500","13,094,890","4,362,788","9,113,629","5,608,499","10,749,463","8,692,337","7,507,309","7,071,966","5,473,671","10,433,147","8,742,780","5,352,497","5,398,730","3,770,756","11,871,726","10,742,000","3,588,228","10,352,180","4,960,328","5,381,367","3,839,047","8,476,895","18,676,550","10,756,931","3,260,645","4,875,429","4,809,194","11,805,689","3,386,803","4,378,604","6,028,434","3,121,226","2,874,215","4,039,209","3,611,428","3,052,937","2,502,897","2,907,320","4,305,477","3,802,996","9,220,578","4,019,171","2,951,041","7,453,535","3,521,018","9,624,660","8,448,233","7,561,588","8,993,985","1,010,647","4,171,428","2,155,648","112,112","2,236,564","10,061,734","2,293,000","8,351,928","2,340,349","7,129,864","5,573,815","1,612,761","2,388,759","3,305,200","2,221,123","2,006,675","1,550,815","8,012,946","6,696,000","1,925,295","1,887,426","2,333,400","2,931,187","1,715,408","4,647,727","1,069,236","4,491,443","1,750,200","4,238,188","3,638,918","578,827","1,166,651","1,433,346","2,482,000","2,836,050",#N/A,"1,551,908","901,690","1,202,447","337,346","4,196,712","3,760,300","2,603,883","1,011,327","2,450,322","3,353,228","1,676,500","2,009,524","56,266","1,711,319","2,863,350","665,119","2,140,063","379,886","523,777","511,285","869,132","1,603,649","1,527,109","628,877","2,181,586","173,140","262,219","879,436","491,575","1,241,623","700,349","577,696","350,155","94,203","421,673","197,202","606,286","234,552","125,040","176,188","320,750","502,558","303,894","210,141","94,902","323,900","89,484","97,392","121,092","182,378","67,793","232,623","83,652","83,400","64,478","115,768","91,892","69,605","128,414","43,283","47,372","92,481","83,239","56,234","66,233","44,042","55,849","48,421","15,379","61,978",8141,"46,600","15,547","10,438","35,000","21,246","50,961","35,521",3367,"23,043",4078,5884,"17,300","16,255","24,307",8319,"10,329",5340,4942
1963,"682,335,000","478,825,602","189,242,000","95,015,295","48,387,293","78,772,647","48,032,932","52,202,008","123,960,000","41,462,373","95,900,000","23,798,418","29,012,630","28,871,383","35,721,213","16,461,828","29,531,362","23,680,246","74,714,353","29,966,873","48,582,624","53,650,000","10,968,196","18,423,157","51,252,000","8,928,510","23,198,238","27,261,747","17,629,978","31,296,651","7,461,636","21,488,916","8,248,818","11,912,800","44,288,607","7,888,910","9,543,200","18,964,000","30,712,000","13,478,425","4,516,540","9,428,906","5,679,409","11,062,295","8,973,791","7,679,465","7,300,124","5,556,767","10,604,620","9,052,632","5,486,319","5,518,104","3,918,630","12,065,468","10,950,000","3,693,985","10,597,516","5,027,811","5,441,618","3,933,914","8,650,390","18,797,850","11,147,860","3,360,099","5,034,639","4,948,991","11,965,966","3,481,654","4,508,444","6,183,586","3,183,576","2,936,478","4,178,726","3,672,560","3,105,417","2,542,864","2,964,416","4,380,074","3,879,191","9,289,770","4,097,755","3,009,061","7,623,300","3,638,110","9,670,685","8,479,625","7,604,328","9,030,355","1,050,212","4,315,127","2,216,712","125,130","2,318,252","10,087,947","2,379,000","8,437,232","2,385,943","7,175,811","5,694,247","1,631,758","2,426,864","3,420,900","2,273,352","2,060,340","1,607,168","8,078,145","6,732,000","1,984,999","1,946,240","2,413,700","3,019,224","1,773,854","4,684,483","1,096,638","4,523,309","1,795,000","4,282,017","3,666,537","593,498","1,191,796","1,486,555","2,531,800","2,852,650",#N/A,"1,579,375","928,742","1,238,893","378,756","4,225,675","3,816,100","2,635,125","1,042,387","2,504,530","3,417,573","1,703,660","2,077,584","61,721","1,762,621","2,898,950","681,633","2,185,050","387,635","535,692","517,573","886,061","1,616,971","1,547,449","635,008","2,210,919","178,142","266,005","891,948","500,652","1,258,857","718,861","577,918","357,279","100,618","436,303","200,371","622,580","240,529","128,838","184,245","324,100","513,409","311,945","216,087","97,540","322,550","93,540","100,165","127,340","185,653","69,944","233,632","86,847","85,700","64,237","119,552","93,214","71,289","130,860","44,342","48,856","93,409","84,200","56,699","68,975","45,176","56,701","48,800","16,407","62,917",8219,"47,700","16,111","10,591","36,400","22,029","50,529","35,965",3703,"23,165",4179,5870,"17,724","16,669","24,889",8469,"10,566",5341,5270
1964,"698,355,000","488,848,139","191,889,000","97,596,728","49,627,623","81,064,572","49,066,762","53,741,721","125,345,000","42,771,077","96,903,000","24,397,010","29,958,687","29,644,875","36,780,001","16,903,830","30,244,258","24,307,855","75,318,337","30,881,136","49,230,585","54,000,000","11,295,675","18,896,303","51,675,350","9,222,692","23,717,785","27,984,155","18,175,187","31,609,195","7,719,108","21,824,427","8,503,989","12,221,675","44,796,959","8,122,199","9,744,772","19,325,000","31,139,450","13,857,656","4,677,304","9,762,819","5,734,995","11,383,364","9,253,827","7,857,107","7,524,470","5,641,598","10,783,958","9,369,101","5,625,164","5,643,039","4,071,411","12,282,417","11,167,000","3,802,802","10,849,977","5,098,891","5,503,750","4,032,364","8,821,855","18,919,126","11,511,856","3,463,211","5,200,341","5,093,848","12,127,120","3,580,241","4,640,795","6,331,443","3,246,527","3,001,160","4,322,854","3,735,912","3,164,258","2,585,961","3,026,292","4,461,111","3,957,759","9,378,113","4,177,631","3,069,735","7,793,258","3,757,123","9,727,804","8,510,429","7,661,354","9,035,365","1,102,404","4,456,691","2,280,044","138,049","2,402,473","10,119,835","2,475,000","8,524,224","2,434,220","7,223,801","5,789,228","1,662,073","2,466,671","3,504,600","2,327,137","2,115,573","1,667,822","8,144,340","6,765,000","2,041,231","2,006,478","2,495,300","3,109,571","1,833,065","4,722,072","1,125,354","4,548,543","1,841,600","4,327,341","3,694,339","608,890","1,217,905","1,539,942","2,585,400","2,866,550",#N/A,"1,608,618","956,794","1,276,331","423,900","4,252,876","3,870,300","2,665,383","1,074,518","2,554,066","3,478,999","1,730,739","2,145,004","67,562","1,814,135","2,935,200","698,797","2,228,429","396,012","547,870","524,891","903,757","1,632,114","1,569,139","641,821","2,240,623","182,888","270,616","902,620","510,035","1,277,086","736,381","578,628","365,120","107,582","450,538","203,762","637,835","246,961","132,766","193,556","327,750","521,753","320,267","222,949","100,177","321,250","97,819","103,069","133,705","188,983","72,116","234,588","90,132","88,100","64,278","123,346","94,637","73,047","133,148","45,392","50,476","94,122","85,117","57,029","71,744","46,322","57,641","49,396","17,466","63,921",8299,"48,900","16,710","10,780","37,600","22,850","49,928","36,409",4063,"23,236",4302,5851,"18,170","17,101","25,478",8644,"10,792",5354,5590
1965,"715,185,000","499,123,328","194,303,000","100,267,070","50,917,975","83,373,533","50,127,920","55,385,114","126,745,000","44,123,863","97,952,000","25,013,634","30,909,997","30,433,024","37,858,947","17,369,882","30,972,996","24,954,865","75,963,695","31,822,656","49,818,019","54,348,050","11,634,837","19,384,838","52,112,350","9,530,163","24,259,356","28,704,674","18,725,242","31,954,292","7,986,062","22,159,644","8,770,094","12,550,880","45,264,552","8,375,795","9,956,318","19,678,000","31,444,950","14,230,163","4,843,632","10,116,870","5,770,573","11,711,402","9,526,558","8,039,217","7,739,463","5,727,745","10,972,912","9,692,281","5,769,215","5,773,538","4,226,843","12,547,524","11,388,000","3,914,118","11,110,825","5,174,874","5,568,495","4,134,464","8,989,607","19,031,576","11,841,926","3,570,466","5,373,137","5,243,980","12,294,732","3,682,879","4,774,984","6,467,191","3,309,583","3,068,465","4,471,178","3,801,711","3,235,536","2,632,361","3,094,378","4,547,941","4,038,865","9,463,667","4,258,734","3,133,155","7,958,171","3,877,768","9,779,358","8,550,333","7,733,853","8,998,595","1,173,603","4,592,601","2,346,005","149,855","2,487,975","10,147,935","2,563,000","8,610,000","2,485,433","7,270,889","5,856,472","1,708,631","2,508,226","3,597,900","2,382,586","2,172,309","1,733,307","8,204,168","6,794,000","2,092,374","2,068,379","2,573,300","3,201,310","1,892,596","4,759,012","1,155,389","4,563,732","1,886,900","4,370,983","3,723,168","625,006","1,245,104","1,592,834","2,628,400","2,877,300",#N/A,"1,639,706","985,907","1,314,679","472,032","4,280,923","3,921,600","2,694,537","1,107,121","2,594,000","3,535,632","1,756,508","2,211,316","73,631","1,864,791","2,971,450","716,588","2,269,399","405,258","559,996","533,357","922,307","1,649,160","1,592,437","649,795","2,265,919","187,432","276,296","911,742","519,676","1,294,566","753,000","580,972","373,925","114,976","463,960","207,429","651,865","253,993","136,815","203,224","331,500","526,327","328,939","230,421","102,710","318,800","102,390","106,120","140,060","192,286","74,268","235,415","93,442","90,500","64,884","127,055","96,138","74,828","135,266","46,429","52,224","94,634","86,009","57,357","74,348","47,500","58,699","50,145","18,542","65,044",8370,"50,100","17,282","11,023","39,200","23,675","49,209","36,843",4460,"23,289",4471,5814,"18,642","17,508","26,079",8836,"11,005",5388,5859
1966,"735,400,000","509,631,509","196,560,000","103,025,423","52,260,183","85,696,502","51,217,969","57,157,651","127,468,000","45,519,746","98,851,000","25,641,040","31,864,175","31,237,597","38,958,046","17,862,052","31,717,504","25,624,380","76,600,311","32,789,129","50,330,268","54,648,500","11,985,442","19,888,259","52,519,000","9,851,453","24,823,937","29,435,571","19,279,734","32,283,194","8,263,434","22,494,031","9,047,803","12,902,626","45,684,983","8,651,162","10,174,840","20,048,000","31,681,000","14,595,351","5,015,353","10,493,441","5,781,305","12,045,783","9,790,083","8,225,919","7,941,418","5,816,241","11,172,530","10,022,592","5,918,592","5,909,874","4,383,723","12,864,947","11,651,000","4,027,969","11,380,665","5,256,360","5,635,864","4,240,430","9,152,848","19,215,450","12,132,560","3,681,953","5,553,247","5,399,423","12,456,251","3,789,381","4,910,790","6,585,034","3,372,182","3,143,654","4,623,340","3,870,204","3,321,674","2,682,159","3,170,496","4,640,995","4,122,517","9,527,807","4,341,325","3,199,348","8,115,487","3,999,796","9,821,040","8,613,651","7,807,797","8,930,990","1,267,063","4,721,528","2,414,805","159,979","2,574,506","10,178,653","2,629,000","8,696,496","2,539,683","7,322,066","5,918,002","1,774,020","2,551,580","3,629,900","2,439,197","2,230,733","1,803,689","8,258,057","6,841,000","2,136,617","2,131,973","2,655,300","3,293,954","1,952,144","4,797,381","1,186,782","4,580,869","1,934,400","4,411,666","3,753,012","642,007","1,273,458","1,645,076","2,675,900","2,888,800",#N/A,"1,673,019","1,016,093","1,353,847","523,169","4,310,701","3,966,700","2,722,871","1,139,962","2,624,995","3,586,630","1,780,522","2,276,038","79,850","1,914,573","3,008,050","734,866","2,307,959","415,478","571,957","543,119","941,798","1,669,905","1,617,797","658,998","2,283,217","191,785","283,506","919,218","529,328","1,308,597","768,813","585,313","383,820","122,876","476,399","211,477","664,518","261,664","140,995","213,189","333,895","526,419","338,155","238,655","105,129","315,200","107,274","109,348","146,381","195,570","76,392","236,084","96,719","93,500","66,172","130,672","97,721","76,611","136,682","47,429","54,192","94,936","86,907","57,702","76,774","48,699","59,912","51,051","19,646","66,300",8444,"51,000","17,834","11,341","40,500","24,473","48,351","37,283",4895,"23,302",4675,5783,"19,160","17,919","26,631",9022,"11,178",5435,6065
1967,"754,550,000","520,400,577","198,712,000","105,865,576","53,655,783","88,035,815","52,342,231","59,034,250","128,196,000","46,956,208","99,879,000","26,280,135","32,823,970","32,056,506","40,072,951","18,378,620","32,477,994","26,317,776","76,951,336","33,778,804","50,775,788","54,943,600","12,348,188","20,406,863","52,900,500","10,187,487","25,410,054","30,130,983","19,837,508","32,682,947","8,550,444","22,828,872","9,337,662","13,275,020","46,063,219","8,947,397","10,399,936","20,412,000","31,987,155","14,954,037","5,195,124","10,889,499","5,774,440","12,386,868","10,046,321","8,417,698","8,132,803","5,907,873","11,382,965","10,359,741","6,073,529","6,052,419","4,544,168","13,222,703","11,799,000","4,144,588","11,657,650","5,343,025","5,706,192","4,350,456","9,312,091","19,534,242","12,385,706","3,797,877","5,740,702","5,560,013","12,598,201","3,899,648","5,047,435","6,685,961","3,434,817","3,227,835","4,779,825","3,941,046","3,420,897","2,735,308","3,253,215","4,740,526","4,208,683","9,580,991","4,425,318","3,268,392","8,266,373","4,123,100","9,852,899","8,684,088","7,867,931","8,874,520","1,378,995","4,843,872","2,486,418","169,768","2,662,257","10,216,604","2,745,000","8,785,648","2,596,820","7,376,998","5,991,785","1,855,450","2,596,798","3,722,800","2,496,927","2,290,797","1,878,869","8,310,226","6,880,000","2,174,732","2,197,303","2,736,500","3,387,384","2,011,762","4,835,354","1,219,547","4,605,744","1,977,600","4,449,367","3,784,539","660,117","1,303,032","1,696,742","2,724,100","2,902,450",#N/A,"1,708,306","1,047,345","1,393,824","577,164","4,338,683","4,005,800","2,750,091","1,173,186","2,645,674","3,632,678","1,803,324","2,339,133","86,298","1,965,598","3,044,400","753,683","2,344,108","426,622","584,098","554,054","962,279","1,689,528","1,644,949","669,243","2,301,220","196,060","291,786","925,233","538,906","1,318,946","783,917","591,301","394,760","131,405","487,973","215,900","675,861","269,944","145,319","223,416","334,995","522,796","347,673","247,522","107,481","311,550","112,446","112,707","152,621","198,751","78,505","236,661","99,990","96,500","68,039","134,181","99,370","78,412","138,140","48,403","56,308","95,012","87,779","58,044","79,034","49,911","61,240","52,117","20,760","67,687",8518,"52,000","18,383","11,723","41,900","25,235","47,388","37,705",5362,"23,292",4922,5766,"19,688","18,309","27,172",9213,"11,329",5510,6221
1968,"774,510,000","531,513,834","200,706,000","108,779,926","55,102,690","90,387,079","53,506,201","60,918,452","128,928,000","48,431,971","101,011,000","26,944,386","33,795,203","32,881,852","41,193,588","18,913,874","33,256,465","27,032,576","77,294,314","34,791,418","51,175,507","55,211,700","12,725,519","20,942,147","53,235,750","10,539,909","26,015,239","30,838,302","20,393,704","33,113,134","8,841,156","23,168,268","9,639,846","13,663,581","46,411,816","9,260,687","10,637,064","20,744,000","32,294,655","15,307,267","5,387,822","11,294,666","5,771,973","12,735,491","10,297,983","8,614,445","8,321,773","6,001,858","11,603,921","10,702,281","6,234,468","6,201,410","4,713,134","13,609,976","12,009,000","4,263,925","11,937,607","5,434,046","5,780,836","4,464,427","9,468,851","19,799,831","12,611,432","3,918,872","5,935,850","5,725,462","12,729,721","4,014,107","5,184,095","6,779,778","3,499,370","3,312,735","4,941,901","4,013,050","3,529,839","2,791,588","3,336,930","4,845,220","4,297,522","9,618,756","4,509,811","3,340,426","8,413,549","4,247,559","9,876,346","8,740,765","7,912,273","8,836,650","1,500,168","4,960,237","2,560,723","182,620","2,750,932","10,255,815","2,803,000","8,874,552","2,656,636","7,415,403","6,067,714","1,945,777","2,644,011","3,802,700","2,556,845","2,351,926","1,958,909","8,369,603","6,915,000","2,210,769","2,264,623","2,818,300","3,481,624","2,071,793","4,864,883","1,253,761","4,626,469","2,012,000","4,483,915","3,816,486","679,592","1,333,980","1,747,690","2,748,100","2,915,550",#N/A,"1,744,198","1,079,580","1,434,676","632,911","4,365,628","4,042,300","2,774,761","1,207,104","2,662,064","3,675,448","1,825,873","2,401,142","93,206","2,022,272","3,078,850","773,428","2,377,848","438,590","596,946","565,763","983,683","1,704,546","1,672,399","680,431","2,323,619","200,652","299,416","930,792","548,817","1,331,214","798,413","598,495","406,508","140,462","498,944","220,574","686,144","278,731","149,887","233,002","335,850","517,481","356,551","256,169","109,893","307,900","117,897","116,065","158,648","201,488","80,653","237,241","103,329","99,500","70,258","137,484","101,028","80,212","140,298","49,354","58,386","94,929","88,663","58,377","81,076","51,134","62,523","53,252","21,886","69,034",8638,"53,000","18,966","12,135","43,400","25,980","46,399","38,131",5857,"23,295",5194,5746,"20,237","18,668","27,693",9427,"11,460",5598,6343
